CUST_NUMB,ITEM_NUMB,UPC_CODE,FULL_PRICE,DISC_PRICE,UOM_PRICE,PROD_QTY,PROD_GRWE,PROD_GENDR,PROD_ID,PROD_NAME,COLOR_CODE,COLOR_NAME,SIZE_CODE,SIZE_NAME,PROD_MATRL,KEY_WORDS,PROD_DESC,REPL_DATEA,DIS_FLAG,STYLE_IMG1,STYLE_IMG2,STYLE_IMG3,ITEM_IMG,COLOR_IMG,SWATCH_IMG,SIZE_IMAGE
,,,,,,,,,,,,,,,,,,,,,,,,,,
W1331,161-011-0,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,0,0 MISSY, , ,"+ 37"" LADYS LAB",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-10,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,10,10, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",7/28/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-10T,6.09953E+11,16,16,EA,13,0.3,WHITE,161, ,11,WHITE,10T,10 TALL, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-12,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,12,12 MISSY, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-12T,6.09953E+11,16,16,EA,35,0.3,WHITE,161, ,11,WHITE,12T,12 TALL, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",7/10/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-14,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,14,14 MISSY, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-14T,6.09953E+11,16,16,EA,28,0.3,WHITE,161, ,11,WHITE,14T,14 TALL, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",7/10/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-16,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,16,16, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-16T,6.09953E+11,16,16,EA,14,0.3,WHITE,161, ,11,WHITE,16T,16 TALL, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-18,6.09953E+11,15.5,15.5,EA,10,0.3,WHITE,161, ,11,WHITE,18,18, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-18T,6.09953E+11,16,16,EA,92,0.3,WHITE,161, ,11,WHITE,18T,18 TALL, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-2,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,2,2 MISSY, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-20,6.09953E+11,15.5,15.5,EA,39,0.3,WHITE,161, ,11,WHITE,20,20, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-20T,6.09953E+11,16,16,EA,38,0.3,WHITE,161, ,11,WHITE,20T,20 TALL, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-4,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,4,4 MISSY, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-40,6.09953E+11,17,17,EA,37,0.3,WHITE,161, ,11,WHITE,40,40, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-42,6.09953E+11,17,17,EA,19,0.3,WHITE,161, ,11,WHITE,42,42, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",7/10/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-44,6.09953E+11,17,17,EA,36,0.3,WHITE,161, ,11,WHITE,44,44, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-46,6.09953E+11,17,17,EA,34,0.3,WHITE,161, ,11,WHITE,46,46, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-48,6.09953E+11,17,17,EA,39,0.3,WHITE,161, ,11,WHITE,48,48, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-50,6.09953E+11,17,17,EA,100,0.3,WHITE,161, ,11,WHITE,50,50,65% Polyester/35% Cotton Poplin with Soil Release,"Meta, Ladies, 37"" Length, Labcoat","Meta Women's 37"" Labcoat. Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder. 65% Polyester/35% Cotton Performance Poplin with Soil Release.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-52,6.09953E+11,17,17,EA,100,0.3,WHITE,161, ,11,WHITE,52,52,65% Polyester/35% Cotton Poplin with Soil Release,"Meta, Ladies, 37"" Length, Labcoat","Meta Women's 37"" Labcoat. Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder. 65% Polyester/35% Cotton Performance Poplin with Soil Release.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-54,6.09953E+11,17,17,EA,77,0.3,WHITE,161, ,11,WHITE,54,54,65% Polyester/35% Cotton Poplin with Soil Release,"Meta, Ladies, 37"" Length, Labcoat","Meta Women's 37"" Labcoat. Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder. 65% Polyester/35% Cotton Performance Poplin with Soil Release.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-56,6.09953E+11,17,17,EA,70,0.3,WHITE,161, ,11,WHITE,56,56,65% Polyester/35% Cotton Poplin with Soil Release,"Meta, Ladies, 37"" Length, Labcoat","Meta Women's 37"" Labcoat. Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder. 65% Polyester/35% Cotton Performance Poplin with Soil Release.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-6,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,6,6 MISSY, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-8,6.09953E+11,15.5,15.5,EA,100,0.3,WHITE,161, ,11,WHITE,8,8 MISSY, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.",6/19/2018,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
W1331,161-011-8T,6.09953E+11,16,16,EA,81,0.3,WHITE,161, ,11,WHITE,8T,8 TALL, ,"Meta, Women's, Labcoat, 37"", Inside Pockets","Meta Women's 37"" Labcoat.  5.2 oz Performace Poplin with Soil Release.  Two Inside Pockets.  Princess Back with Belt.  Hand Access Slits and Scissors Holder.", ,0,http://www.encompassb2b.com/B2Bimages/161.jpg, , , ,http://www.encompassb2b.com/B2Bimages/s_011.jpg, , 
